pos_x,pos_y,pos_z,vel_x,vel_y,vel_z,x_ref,y_ref,z_ref,vx_ref,vy_ref,vz_ref,ax,ay,az,force_x,force_y,force_z
0.927969255,0.31647871,1.022189522,0.19005036,-0.432773813,-0.01593914,0.951056516,0.293892626,1,0.194129167,-0.507985974,0,0.7971481,-0.6886537,0.3303305,4.7828886,-4.1319222,4.2942965
0.937757571,0.288221431,1.021630858,0.195766311,-0.565145576,-0.011173276,0.960293686,0.267913397,1,0.175266448,-0.530157891,0,0.6061607,0.15077582,0.32655415,3.6369642,0.90465492,4.24520395
0.945637944,0.263681141,1.021189933,0.157607474,-0.490805803,-0.008818495,0.968583161,0.240876837,1,0.156230763,-0.550237517,0,0.74847066,-0.6596904,0.30436203,4.49082396,-3.9581424,3.95670639
0.953385435,0.233668531,1.020329374,0.154949818,-0.600252185,-0.017211193,0.975916762,0.212889646,1,0.137040896,-0.568145607,0,0.5988519,0.036582157,0.35248402,3.5931114,0.219492942,4.58229226
0.959334398,0.20680322,1.020252709,0.118979256,-0.53730622,-0.00153329,0.982287251,0.184062276,1,0.117715787,-0.583811486,0,0.6993754,-0.62629,0.25259054,4.1962524,-3.75774,3.28367702
0.964803434,0.175604239,1.018488659,0.10938073,-0.623979632,-0.035281014,0.987688341,0.154508497,1,0.098274506,-0.597173328,0,0.590533,-0.15185408,0.41397947,3.543198,-0.91112448,5.38173311
0.968639588,0.146116286,1.019107146,0.076723061,-0.58975905,0.012369751,0.992114701,0.124344944,1,0.07873624,-0.608178399,0,0.69030833,-0.4865899,0.27221018,4.14184998,-2.9195394,3.53873234
0.97214432,0.114662794,1.018404959,0.070094655,-0.629069856,-0.014043748,0.995561965,0.093690657,1,0.059120271,-0.616783268,0,0.61046386,-0.25582114,0.34141037,3.66278316,-1.53492684,4.43833481
0.974472555,0.08428467,1.018216362,0.046564702,-0.607562468,-0.003771936,0.998026728,0.062666617,1,0.039445958,-0.622953975,0,0.6599846,-0.47665378,0.3067631,3.9599076,-2.85992268,3.9879203
0.976321965,0.052646349,1.017649171,0.0369882,-0.632766424,-0.011343815,0.99950656,0.03139526,1,0.019732716,-0.626666168,0,0.60841036,-0.3346769,0.35960713,3.65046216,-2.0080614,4.67489269
0.977189507,0.021718495,1.018009848,0.017350831,-0.618557086,0.007213537,1,-4.90E-16,1,0,-0.627905195,0,0.6316712,-0.44991064,0.30322385,3.7900272,-2.69946384,3.94191005
0.977468972,-0.009626954,1.017827676,0.005589311,-0.626908975,-0.003643442,0.99950656,-0.03139526,1,-0.019732716,-0.626666168,0,0.59761715,-0.40022653,0.3476911,3.5857029,-2.40135918,4.5199843
0.976876056,-0.040551831,1.018233445,-0.011858329,-0.618497528,0.008115375,0.998026728,-0.062666617,1,-0.039445958,-0.622953975,0,0.5975622,-0.43080655,0.31796038,3.5853732,-2.5848393,4.13348494
0.975545464,-0.071219917,1.018435232,-0.02661184,-0.613361722,0.004035742,0.995561965,-0.093690657,1,-0.059120271,-0.616783268,0,0.574836,-0.4358106,0.34007788,3.449016,-2.6148636,4.42101244
0.973350624,-0.101494152,1.018983382,-0.043896797,-0.605484701,0.010963011,0.992114701,-0.124344944,1,-0.07873624,-0.608178399,0,0.5630046,-0.43085718,0.32831693,3.3780276,-2.58514308,4.26812009
0.970308939,-0.131152676,1.019544651,-0.060833696,-0.593170487,0.011225367,0.987688341,-0.154508497,1,-0.098274506,-0.597173328,0,0.5464858,-0.4508827,0.3323192,3.2789148,-2.7052962,4.3201496
0.966390566,-0.160283234,1.020207184,-0.078367465,-0.582611161,0.013250676,0.982287251,-0.184062276,1,-0.117715787,-0.583811486,0,0.52521276,-0.4407167,0.3327654,3.15127656,-2.6443002,4.3259502
0.961524999,-0.188635962,1.020961341,-0.09731134,-0.567054548,0.015083129,0.975916762,-0.212889646,1,-0.137040896,-0.568145607,0,0.5081478,-0.448704,0.33103815,3.0488868,-2.692224,4.30349595
0.955705185,-0.216201769,1.021747013,-0.116396272,-0.551316147,0.015713438,0.968583161,-0.240876837,1,-0.156230763,-0.550237517,0,0.48884296,-0.43668815,0.33199403,2.93305776,-2.6201289,4.31592239
0.948907924,-0.242761249,1.022576108,-0.135945238,-0.531189596,0.01658191,0.960293686,-0.267913397,1,-0.175266448,-0.530157891,0,0.47234324,-0.4446744,0.32846886,2.83405944,-2.6680464,4.27009518
0.941151335,-0.268353024,1.023352815,-0.155131771,-0.511835508,0.015534137,0.951056516,-0.293892626,1,-0.194129167,-0.507985974,0,0.44990277,-0.42872196,0.33255687,2.69941662,-2.57233176,4.32323931
0.932393398,-0.29275679,1.024175512,-0.17515874,-0.488075327,0.016453935,0.940880769,-0.318711995,1,-0.212800304,-0.483809268,0,0.43471906,-0.44030878,0.32385394,2.60831436,-2.64185268,4.21010122
0.922684839,-0.316093756,1.024826021,-0.194171177,-0.46673931,0.013010175,0.929776486,-0.342273553,1,-0.231261433,-0.457723188,0,0.41110626,-0.43701118,0.32923424,2.46663756,-2.62206708,4.28004512
0.911984219,-0.338313044,1.025452093,-0.21401241,-0.444385761,0.012521443,0.917754626,-0.364484314,1,-0.249494334,-0.429830684,0,0.3888504,-0.4220872,0.32305,2.3331024,-2.5325232,4.19965
0.900278513,-0.359253326,1.025906949,-0.234114109,-0.418805651,0.009097124,0.904827052,-0.385256621,1,-0.267481015,-0.400241835,0,0.362494,-0.41911966,0.3244784,2.174964,-2.51471796,4.2182192
0.887519588,-0.378917123,1.026246524,-0.25517851,-0.393275929,0.006791507,0.891006524,-0.404508497,1,-0.285203724,-0.369073414,0,0.34806532,-0.3900069,0.32156357,2.08839192,-2.3400414,4.18032641
0.87380417,-0.397031755,1.026416868,-0.274308358,-0.362292641,0.00340688,0.87630668,-0.422163963,1,-0.302644972,-0.336448428,0,0.3393134,-0.38020536,0.32308167,2.0358804,-2.28123216,4.20006171
0.8592834,-0.413587122,1.026477866,-0.29041539,-0.331107335,0.001219961,0.860742027,-0.43815334,1,-0.319787545,-0.302495635,0,0.32679957,-0.36030912,0.32359153,1.96079742,-2.16185472,4.20668989
0.844050869,-0.428476527,1.026457479,-0.304650623,-0.29778811,-0.000407745,0.844327926,-0.452413526,1,-0.336614527,-0.267349029,0,0.31242564,-0.34208024,0.3233864,1.87455384,-2.05248144,4.2040232
0.828171233,-0.441639911,1.026363233,-0.317592727,-0.263267679,-0.001884925,0.827080574,-0.464888243,1,-0.353109311,-0.231147319,0,0.2910888,-0.34918818,0.33239686,1.7465328,-2.09512908,4.32115918
0.811628564,-0.453314768,1.02641927,-0.330853384,-0.233497132,0.001120749,0.809016994,-0.475528258,1,-0.369255619,-0.194033376,0,0.22657822,-0.31314808,0.32051438,1.35946932,-1.87888848,4.16668694
0.793944676,-0.46324479,1.026322584,-0.353677761,-0.198600446,-0.00193372,0.790155012,-0.484291581,1,-0.385037516,-0.156153672,0,0.10660337,-0.20626912,0.32455504,0.63962022,-1.23761472,4.21921552
0.774118359,-0.470454657,1.026192038,-0.396526326,-0.144197331,-0.002610925,0.770513243,-0.491143625,1,-0.400439427,-0.117657701,0,0.024685381,-0.21818233,0.28483015,0.148112286,-1.30909398,3.70279195
0.751728617,-0.475427902,1.02509746,-0.447794848,-0.099464912,-0.02189155,0.75011107,-0.496057351,1,-0.415446154,-0.078697388,0,0.011363226,-0.09955147,0.3027818,0.068179356,-0.59730882,3.9361634
0.727182974,-0.477172319,1.023614747,-0.490912853,-0.034888328,-0.029654274,0.728968627,-0.499013364,1,-0.430042884,-0.039426493,0,0.04224827,-0.1828962,0.3275167,0.25348962,-1.0973772,4.2577171
0.701324859,-0.477065726,1.022396186,-0.517162295,0.002131857,-0.02437122,0.707106781,-0.5,1,-0.444215215,1.67E-15,0,0.4393868,-0.32374594,0.35036433,2.6363208,-1.94247564,4.55473629
0.678864937,-0.476918662,1.021949763,-0.449198452,0.002941284,-0.008928465,0.684547106,-0.499013364,1,-0.457949159,0.039426493,0,0.38946548,-0.21024446,0.39544648,2.33679288,-1.26146676,5.14080424
0.65891891,-0.475503692,1.023225493,-0.39892054,0.028299387,0.025514606,0.661311865,-0.496057351,1,-0.471231162,0.078697388,0,0.22216687,-0.12897511,0.3046125,1.33300122,-0.77385066,3.9599625
0.639439506,-0.472137612,1.023814726,-0.389588083,0.067321607,0.011784664,0.63742399,-0.491143625,1,-0.484048117,0.117657701,0,-0.5945947,0.14530995,0.34952497,-3.5675682,0.8718597,4.54382461
0.611618537,-0.464154809,1.024874507,-0.556419372,0.159656065,0.021195622,0.612907054,-0.484291581,1,-0.496387375,0.156153672,0,0.17365971,-0.08435462,0.22250631,1.04195826,-0.50612772,2.89258203
